Comment,Toxic,Urdu,predicted_label
"Saariqon ne 2nd September Itwaar ki shab Museum mein numayesh ke liye rakhi gayeen qeemti ashya ka sarqa karliya tha jin mein 7th Nizaam ke zair istemaal Golden Tiffin Box, Cup & Saucer aur aik Golden Spoon shaamil hain",0, ساریقوں نے 2 ستمبر اتوار کی شب میوزیئم میں نمائش کے لئے رکھی گئیں قیمتی اشیاء کا سرقہ کرلیا تھا جن میں 7 نظام کے زیر استعمال گولڈن ٹفن باکس ، کپ اینڈ سوسر اور ایک گولڈن اسپون شامل ہیں ,0
Kam zerfoon ko yeh jaam palaya nahi jata,0, کمظرفوں کو یہ جام پلایا نہیں جاتا ,0
Madar sidhhu chod,1, مادر سدھو چود ,0
dosray roz Rohit ke naak se khoon beh raha tha aur woh behosh tha,0, دوسرے روز روہیت کے ناک سے خون بہہ رہا تھا اور وہ بے ہوش تھا ,0
"chadhti jawaani meri chaal mastani
tune kadar na jaani rama
haaye rama, hoye rama, haaye rama",0, چڑھتی جوانی میری چال مستانی تونے قدر نہ جانی راما ہائے راما ، ہوئے راما ، ہائے راما ,0
"Wo nahi chahti thi ke in ke dono bachon Rahul Gandhi aur Priyanka Gandhi par khoon e siyasat ka manhoos saya bhi parhe, lekin bil aakhir 1998 mein inhe party ke mustaqil dabao ke saamne himmat dikhani parhi aur wo congress ki intekhabi mohim mein hissa lene par aamada ho gai.",0, وہ نہیں چاہتی تھی کہ ان کے دونوں بچوں راہول گاندھی اور پریانکا گاندھی پر خونِ سیاست کا منحوس سایہ بھی پڑھے ، لیکن بل آخر 1998 میں انہیں پارٹی کے مستقل دباؤ کے سامنے ہمت دکھانی پڑی اور وہ کانگریس کی انتخابی مہم میں حصہ لینے پر آمادہ ہو گئی . ,0
Neend se kia shikwa kron MohsinQasur to us chehre ka hai jo sone nhi deta,0, نیند سے کیا شکوہ کروں محسن قصور تو اس چہرے کا ہے جو سونے نہیں دیتا ,0
I am from pakistan.. lov u bro,0, آئی ایم فرام پاکستان . . لو یو برو ,0
arsa hua yh kam nhi kea,0, عرصہ ہوا یہ کام نہیں کیا ,0
Or ororororooro,0, اور اوراوراوراوراور ,0
"Hum mit chale jinke liye
Hum mit chale hai jinke liye
Bin kuch kahe voh chup chup rahe
Koi zara yeh unse kahe
Na aise aazmaao
Oh ho ho, khoya khoya chaand, khula aasmaan
Aankhon mein saari raat jaayegi
Tumko bhi kaise neend aayegi
Oh oh, khoya khoya chaand, khoya khoya chaand
Khoya khoya chaand, khoya khoya chaand
Khoya khoya chaand, khoya khoya chaand",0, ہم مٹ چلے جن کے لیے ہم مٹ چلے ہے جن کے لیے بن کچھ کہے وہ چپ چپ رہے کوئی ذرا یہ ان سے کہے نہ ایسے آزماو او ہو ہو ، کھویا کھویا چاند ، کھلا آسمان آنکھوں میں ساری رات جائے گی تم کو بھی کیسے نیند آئے گی او اوہ ، کھویا کھویا چاند ، کھویا کھویا چاند کھویا کھویا چاند ، کھویا کھویا چاند کھویا کھویا چاند ، کھویا کھویا چاند ,1
Kya is se in ki asal sanaf par koi asar parha ??? Muzaffar Ali ka kehna tha ke  Qawwali mein bajne wale tamam saaz aik rang ya mizaj mein dhale hote hain un par izafi saaz dalna zabardasti dosra libas pehnane ke mutaradif hai,0, کیا اس سے ان کی اصل صنف پر کوئی اثر پڑا ؟ ؟ ؟ مظفر علی کا کہنا تھا کہ قوالی میں بجنے والے تمام ساز ایک رنگ یا مزاج میں ڈھلے ہوتے ہیں ان پر اضافی ساز ڈالنا زبردستی دوسرا لباس پہنانے کے مترادف ہے ,0
allah pak janatul firdus main alla maqam day ameen,0, اللہ پاک جنت الفردوس میں اعلیٰ مقام دے آمین ,0
Kya ye me b kr lu,0, کیا یہ میں بھی کر لوں ,0
Walidain nay Police se mutaleba kya ke taalibat ke sath oochhi harkatein karne walay is teacher ko sakht se sakht saza dilae jaye,0, والدین نے پولیس سے مطالبہ کیا کہ مطالبات کے ساتھ اونچی حرکتیں کرنے والے اس ٹیچر کو سخت سے سخت سزا دلائی جائے ,0
Mene sapna dekha ki kuch log pani me gir gaye hai or me unhe bachara hu is sapne ki tabir batao bhai,0, میں نے سپنا دیکھا کی کچھ لوگ پانی میں گر گئے ہے اور میں انہیں بچارا ہو اس سپنے کی تعبیر بتاؤ بھائی ,0
"Afghan media ke mutabiq qndhar ke zila Maroof ke gaon par guzashta raat taliban ne hamla kya tha, jis par inhen Afghan forces ki janib se karwai ka saamna karna para .Afghan forces ne taliban ke khilaaf fazai madad ka mutalba kya, taliban ne hamlay se bachney ke liye gharon mein panah le li, fazai hamlay ki zad mein taliban ke sath wahan ke awam bhi aagaye .",0, افغان میڈیا کے مطابق قندھار کے ضلع معروف کے گاؤں پر گزشتہ رات طالبان نے حملہ کیا تھا ، جس پر انہیں افغان فورسز کی جانب سے کارروائی کا سامنہ کرنا پڑا . افغان فورسز نے طالبان کے خلاف فضائی مدد کا مطالبہ کیا ، طالبان نے حملے سے بچنے کے لیے گھروں میں پناہ لے لی ، فضائی حملے کی زد میں طالبان کے ساتھ وہاں کے عوام بھی آگئے . ,0
Lucknow: Sabiq wazer-a-Aala wo BSP ki sadar Mayawati ney lok sabha intikhabaat ki tez hoti rassa kashi ke darmiya ek bura elaan kiya hai,0, لکھنو : سابق وازیر-ا-االا وہ بی ایس پی کی صدر مایاوتی نے لوک سبھا انتخابات کی تیز ہوتی رسہ خوشی کے درمیاں ایک برا اعلان کیا ہے ,0
SAB te lahnat,1, سب تے لعنت ,0
Salo sab pakistaniyon lad lad ke mroge,1, سالو سب پاکستانیوں لڑ لڑ کے مروگے ,0
Ager ghar ma dekhe to ?,0, اگر گھر ماں دیکھے تو ؟ ,0
Superb awesm fab,0, سوپرب آوسم فیب ,0
Iss mauqa par khitaab karte hue Governor ne shahrion se appeal ki ke woh ziyada se ziyada Metro Train ka istemaal karen is se na sirf aloodgi mein kami aeye gi balkay eendhan ki bhi bachat hogi aur waqt ki bhi bachat hogi,0, اس موقع پر خطاب کرتے ہوئے گورنر نے شہریوں سے اپیل کی کہ وہ زیادہ سے زیادہ میٹرو ٹرین کا استعمال کریں اس سے نا صرف آلودگی میں کمی آئے گی بلکہ ایندھن کی بھی بچت ہوگی اور وقت کی بھی بچت ہوگی ,0
"New Delhi : Kaafi dino se mulk ki awam, aur siyasi partiyoun ko aam lok sabha intekhabaat ka intezaar tha",0, نیو دہلی : کافی دنوں سے ملک کی عوام ، اور سیاسی پارٹیوں کو عام لوک سبھا انتخابات کا انتظار تھا ,0
Amrici mahkuma e kharija ka kahna hai ke America Chinese fouj ki branch Economic Development Department aur mahkuma ke director par fauri pabandi nafiz karega,0, امریکی محکمہ خارِجَہ کا کہنا ہے کہ امریکہ چائینز فوج کی برانچ اکنامک ڈویلپمنٹ ڈیپارٹمنٹ اور محکمے کے ڈائریکٹر پر فوری پابندی نافذ کرے گا ,0
Hahahhahhaha biryani khara,0, حاحاہاہاحا بریانی کھڑا ,0
Teesra Toot Ke Karli gud nite,0, تیسرا ٹوٹ کے کرلی گڈ نائٹ ,0
@JALIL AHMED bhok kutte,1, @ جلیل احمد بھونک کتے ,1
"* ek ye din jab jaagi raaten deevaaroN ko takti hain -2
ek vo din jab shaamoN ki bhi palken bojhal rahti thi
mujhko yaqin hai sach kahti thi jo bhi ammi kahti thi",0, * ایک یہ دن جب جاگی راتیں دیواروں کو تکتی ہیں ایک وہ دن جب شاموں کی بھی پلکیں بوجھل رہتی تھی مجھکو یقین ہے سچ کہتی تھی جو بھی امی کہتی تھی ,0
Beta phakki ki zaroorat tumhe hai jo ahl e hadees hazam nahi hotay........neem rafzi sala,1, بیٹا پھکی کی ضرورت تمہیں ہے جو اہلِ حدیث ہضم نہیں ہوتے . . . . . . . . نیم رافضی سالا ,0
"Aaya hain mausam dil ki lagi ka
Aalam naa poocho deewangi ka",0, آیا ہیں موسم دل کی لگی کا عالم نہ پوچھو دیوانگی کا ,0
Allah in par raham karah,0, اللہ ان پر رحم کرے ,0
Wah wah Wah!! Bari baat hai,0, واہ واہ واہ ! ! بڑی بات ہے ,0
